Main areas;Description;Book chapter
Section 1 - Background;Introduction;Chapter 1
;Characteristics of salt-affected soils;Chapter 2
;Global information of salt- affected soils;Chapter 3
;Methods for mapping salt- affected soils;Chapter 3
Section 2 - Systematic procedures for mapping salt- affected soils;Assessment requirements;Chapter 4
;Input data assessment;Chapter 4
;Software and computer requirements;Chapter 4
;Step 1: Data preparation and harmonization;Chapter 5
;Step 2: Spatial modelling, validation, and uncertainty assessment;Chapter 5
;Step 3: Classification and map update;Chapter 5
Section 3 - Information sharing & Resources mobilization;Product specification;Chapter 6
;Data sharing requirements;Chapter 6
;Resources mobilization;Chapter 7
;Capacity development program;Chapter 7
